sl,state,name,lat,lng
1,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences, Tirupati",13.6379378,79.4039118
2,Andhra Pradesh,"Rangaraya Medical College, Kakinada",16.9791646,82.237258
3,Andhra Pradesh,"Sidhartha Medical College, Vijayawada",16.5174383,80.6713233
4,Andhra Pradesh,"GMC, Anantapur, AP",14.6712103,77.5928737
5,Andaman & Nicobar islands,"Regional Medical Research Centre, Port Blair, Andaman and Nicobar",11.6346545,92.7146371
6,Assam,"Gauhati Medical College, Guwahati",26.1542109,91.7700714
7,Assam,"Regional Medical Research Center, Dibrugarh",27.4727051,94.9827966
8,Assam,"Silchar Medical College, Silchar",24.775798,92.7949158
9,Assam,"Jorhat Medical College, Jorhat",26.7425738,94.1951087
10,Bihar,"Rajendra Memorial Research Institute of Medical Sciences, Patna",25.5997386,85.197722
11,Chandigarh,"Post Graduate Institute of Medical Education & Research, Chandigarh",30.7649646,76.7750066
12,Chhattisgarh,"All India Institute Medical Sciences, Raipur",21.2567797,81.5791788
13,Delhi-NCT,"All India Institute Medical Sciences, Delhi",28.5671773,77.2100451
14,Gujarat,"BJ Medical College, Ahmedabad",23.0524508,72.6028567
15,Gujarat,"M.P.Shah Government Medical College, Jamnagar",22.4773074,70.0652399
16,Haryana,"Pt. B.D. Sharma Post Graduate Inst. of Med. Sciences, Rohtak, Haryana",28.8801261,76.6055682
17,Haryana,"BPS Govt Medical College, Sonipat",29.1520573,76.8083989
18,Himachal pradesh,"Indira Gandhi Medical College, Shimla, Himachal Pradesh",31.1064901,77.1822518
19,Himachal pradesh,"Dr.Rajendra Prasad Govt. Med. College, Kangra, Tanda, HP",32.0991951,76.2986883
20,Jammu & Kashmir,"Sher-e- Kashmir Institute of Medical Sciences, Srinagar",34.136145,74.8000465
21,Jammu & Kashmir,"Government Medical College, Jammu",32.7361128,74.8539737
22,Jammu & Kashmir,"Government Medical College, Srinagar",34.0859652,74.7988339
23,Jharkhand,"MGM Medical College, Jamshedpur",22.843664,86.232396
24,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",12.9593958,77.5747214
25,Karnataka,National Institute of Virology Field Unit Bangalore,12.9373283,77.5908367
26,Karnataka,"Mysore Medical College & Research Institute, Mysore",12.3150229,76.6504047
27,Karnataka,"Hassan Inst. of Med. Sciences, Hassan, Karnataka",13.0048638,76.1026865
28,Karnataka,"Shimoga Inst. of Med. Sciences, Shivamogga, Karnataka",13.9326526,75.5668522
29,Kerala,"National Institute of Virology Field Unit, Kerala",9.4185125,76.3431999
30,Kerala,"Govt. Medical College, Thriuvananthapuram, Kerala",8.523432,76.9282855
31,Kerala,"Govt. Medical College, Kozhikhode, Kerala",11.272211,75.8371979
32,Kerala,"Govt. Medical College, Thrissur",10.6144974,76.1960673
33,Madhya Pradesh,"All India Institute Medical Sciences, Bhopal",23.2067582,77.4601622
34,Madhya Pradesh,"National Institute of Research in Tribal Health (NIRTH), Jabalpur",23.147171,79.8788639
35,Meghalaya,"NEIGRI of Health and Medical Sciences, Shillong, Meghalaya",25.5909,91.9372999
36,Maharashtra,"Indira Gandhi Government Medical College, Nagpur",21.153418,79.0939735
37,Maharashtra,"Kasturba Hospital for Infectious Diseases, Mumbai",18.9840364,72.8298487
38,Maharashtra,NIV Mumbai Unit,19.0759837,72.8776559
39,Manipur,"J N Inst. of Med. Sciences Hospital, Imphal-East, Manipur",24.8100744,93.9611346
40,Manipur,"Regional Institute of Medical Sciences, Imphal",24.8158998,93.9228051
41,Odisha,"Regional Medical Research Center, Bhubaneswar",20.3166497,85.819505
42,Puducherry,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry",11.9503023,79.7996963
43,Punjab,"Government Medical College, Patiala, Punjab",30.3280627,76.3851284
44,Punjab,"Government Medical College, Amritsar",31.6538532,74.8852258
45,Rajasthan,"Sawai Man Singh, Jaipur",26.8970776,75.8114467
46,Rajasthan,"Dr. S.N Medical College, Jodhpur",26.2694214,73.007409
47,Rajasthan,"Jhalawar Medical College, Jhalawar, Rajasthan",24.5855602,76.161038
48,Rajasthan,"RNT Medical College, Udaipur",24.588215,73.6949805
49,Rajasthan,"SP Med. College, Bikaner, Rajasthan",28.0063889,73.3305142
50,Tamil Nadu,"King's Institute of Preventive Medicine & Research, Chennai",13.0124413,80.2176106
51,Tamil Nadu,"Government Medical College, Theni",10.0061925,77.5536939
52,Tamil Nadu,"Tirunelveli Medical College, Tirunelveli",8.7117515,77.7508167
53,Tamil Nadu,"Govt. Medical college, Thiruvarur",10.7755154,79.6051714
54,Tripura,"Government Medical College, Agartala",23.8604332,91.2927536
55,Telangana,"Gandhi Medical College, Secunderabad",17.4246598,78.5043917
56,Telangana,"Osmania Medical College, Hyderabad",17.3822473,78.4828573
57,Uttar Pradesh,"King's George Medical University, Lucknow",26.8692591,80.9162402
58,Uttar Pradesh,"Institute of Medical Sciences, Banaras Hindu University, Varanasi",25.2744547,82.9995254
59,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",27.918604,78.0857405
60,Uttarakhand,"Government Medical College, Haldwani",29.2063975,79.5213812
61,West Bengal,"National Institute of Cholera and Enteric Diseases, Kolkata",22.5658475,88.399816
62,West Bengal,"IPGMER, Kolkata",22.5394793,88.3418445
63,Delhi-NCT,"National Centre of Disease Control, New Delhi",28.6794681,77.223585
64,Bihar,"Darbhanga Medical College, Darbhanga",26.1337743,85.9015883
65,Chhattisgarh,"Late Sri Baliram Kashyap Memorial Govt. Medical College, Jagdalpur",19.0506869,81.9481812
66,Delhi-NCT,"Lady Hardinge Medical College, New Delhi",28.6355215,77.2141751
67,Delhi-NCT,"Army Hospital (R&R), New Delhi",28.5836503,77.1578737
68,Jammu & Kashmir,"Command Hospital, Udhampur",32.9307865,75.1353478
69,Karnataka,"Command Hospital, Bangaluru",12.9646503,77.6281362
70,Maharashtra,"Armed Forces Medical College, Pune",18.5040375,73.8900961
71,Tamil Nadu,"Madras Medical College, Chennai",13.0799717,80.2722928
72,Uttar Pradesh,"Command Hospital, Lucknow",26.8174503,80.9408179